Id,SalePrice
1461,92693.284508595
1462,147756.42682847547
1463,183023.68606857056
1464,189733.96058909522
1465,177529.67309729187
1466,170262.44964696598
1467,179471.26170491424
1468,174760.78263707308
1469,177734.5467029679
1470,95817.55203685894
1471,199963.63507780316
1472,105474.10039646763
1473,108043.26432386797
1474,157058.84815125464
1475,122145.56346361777
1476,344458.6213159599
1477,247482.24649261698
1478,302744.19806928345
1479,305244.7340926314
1480,588006.2721789022
1481,310213.195936891
1482,227332.54777499914
1483,188037.48112636065
1484,189984.01774450962
1485,177933.40420089915
1486,198874.53950742472
1487,314870.96025200706
1488,259539.09596028045
1489,186919.62042723474
1490,229845.26946341994
1491,193828.63363707432
1492,110474.7948350377
1493,216394.9051064662
1494,293702.06509657425
1495,275265.93890355673
1496,237768.36832586507
1497,166806.07475859893
1498,166341.24284679952
1499,153340.04381362585
1500,153340.04381362585
1501,168901.89400361816
1502,144743.0555151451
1503,233822.5311166554
1504,247618.84276952734
1505,245105.2569984809
1506,193819.8752831185
1507,237873.0717551494
1508,225648.8193392121
1509,144602.71536839445
1510,146541.83034590987
1511,150048.7642909262
1512,182976.63704756516
1513,154907.3581619021
1514,148518.8762457655
1515,214953.3612117405
1516,167314.15193395983
1517,155259.3142571564
1518,152824.4302533365
1519,226044.14800600454
1520,134588.82111772048
1521,138138.2054678949
1522,167346.8202261987
1523,89225.06203705599
1524,101095.67314371814
1525,112344.05526818306
1526,113880.25134942529
1527,121349.30553201106
1528,122178.06621521786
1529,143770.5748676211
1530,168847.13182755446
1531,125920.36266553043
1532,108202.35233988454
1533,146258.3926536798
1534,111184.43084331544
1535,154148.3959272013
1536,123853.75474208155
1537,110575.13175959821
1538,148702.38115120007
1539,198312.03796900826
1540,117470.52593891342
1541,138484.08982356623
1542,139795.90886287877
1543,160260.6292574398
1544,96606.41668325526
1545,92036.11849131882
1546,144806.51278964258
1547,136143.00714345553
1548,124379.87288509506
1549,103782.6404842696
1550,152277.92804202173
1551,113885.63947758437
1552,155392.87947143381
1553,132717.36840854975
1554,122908.03388090739
1555,149682.91814486915
1556,106882.62961829566
1557,72545.07985202414
1558,91149.75542172282
1559,105775.09014596345
1560,149538.7840438872
1561,126151.24885879275
1562,128667.3901359998
1563,99937.04384373677
1564,167395.03313080626
1565,143327.024517045
1566,196103.74821299178
1567,98166.64715742301
1568,223069.53089679818
1569,137048.86343989838
1570,143920.57486287015
1571,141422.3753174927
1572,130893.1753633893
1573,231771.42203772796
1574,142545.02295286057
1575,199893.18191038183
1576,279598.8776464892
1577,201523.99811522328
1578,138545.25020675518
1579,140295.55008976228
1580,191611.3917924049
1581,132857.12972985758
1582,131700.02648994396
1583,350735.50585856306
1584,244853.46564201152
